Póstnúmer;Staður;Tegund;Svæði;Heimilisfang
101;Reykjavík;Afgreiðsla;Höfuðborgarsvæðið;Pósthússtræti 5
103;Reykjavík;Póstnúmer;Höfuðborgarsvæðið;Síðumúla 3-5
104;Reykjavík;Póstnúmer;Höfuðborgarsvæðið;Síðumúla 3-5
105;Reykjavík;Afgreiðsla;Höfuðborgarsvæðið;Síðumúla 3-5
107;Reykjavík;Afgreiðsla;Höfuðborgarsvæðið;Eiðistorg 15
108;Reykjavík;Pósthús;Höfuðborgarsvæðið;Síðumúla 3-5
109;Reykjavík;Afgreiðsla;Höfuðborgarsvæðið;Þönglabakka 4
110;Reykjavík;Afgreiðsla;Höfuðborgarsvæðið;Hraunbær 119
111;Reykjavík;Póstnúmer;Höfuðborgarsvæðið;Þönglabakka 4
112;Reykjavík;Afgreiðsla;Höfuðborgarsvæðið;Hverafold 1-3
113;Reykjavík;Póstnúmer;Höfuðborgarsvæðið;Hraunbær 119
116;Reykjavík;Póstnúmer;Höfuðborgarsvæðið;Háholti 14
121;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Pósthússtræti 5 (pósthólf)
123;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Síðumúla 3-5 (pósthólf)
124;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Síðumúla 3-5 (pósthólf)
125;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Síðumúla 3-5 (pósthólf)
127;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Eiðistorg 15 (pósthólf)
128;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Síðumúli 3-5 (pósthólf)
129;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Þönglabakka 4 (pósthólf)
130;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Hraunbæ 119 (pósthólf)
132;Reykjavík;Pósthólf;Höfuðborgarsvæðið;Hverafold 1-3 (pósthólf)
150;Reykjavík;Póstnúmer;Fyrirtækjaþjónusta;Fyrirtæki/Stofnanir
155;Reykjavík;Póstnúmer;Fyrirtækjaþjónusta;Fyrirtæki/Stofnanir
170;Seltjarnarnesi;Afgreiðsla;Höfuðborgarsvæðið;Eiðistorg 15
172;Seltjarnarnesi;Pósthólf;Höfuðborgarsvæðið;Eiðistorg 15 (pósthólf)
190;Vogum;Afgreiðsla;Suðurland og Reykjanes;Iðndal 2
200;Kópavogi;Afgreiðsla;Höfuðborgarsvæðið;Dalvegi 18
201;Kópavogi;Póstnúmer;Höfuðborgarsvæðið;Dalvegi 18
202;Kópavogi;Pósthólf;Höfuðborgarsvæðið;Dalvegi 18 (pósthólf)
203;Kópavogi;Póstnúmer;Höfuðborgarsvæðið;Dalvegi 18
210;Garðabæ;Pósthús;Höfuðborgarsvæðið;Litlatúni 3
212;Garðabæ;Pósthólf;Höfuðborgarsvæðið;Litlatúni 3 (pósthólf)
220;Hafnarfirði;Afgreiðsla;Höfuðborgarsvæðið;Firði
221;Hafnarfirði;Póstnúmer;Höfuðborgarsvæðið;Firði
222;Hafnarfirði;Pósthólf;Höfuðborgarsvæðið;Firði (pósthólf)
225;Álftanesi;Póstnúmer;Höfuðborgarsvæðið;Garðatorgi 5 (Garðabæ)
230;Reykjanesbæ;Pósthús;Suðurland og Reykjanes;Hafnargötu 89
232;Reykjanesbæ;Pósthólf;Suðurland og Reykjanes;Hafnargötu 89 (pósthólf)
233;Reykjanesbæ;Póstnúmer;Suðurland og Reykjanes;Hafnargötu 89 (Keflavík)
235;Reykjanesbæ;Afgreiðsla;Suðurland og Reykjanes;Hafnargötu 89 (Keflavík)
240;Grindavík;Afgreiðsla;Suðurland og Reykjanes;Víkurbraut 25
245;Sandgerði;Afgreiðsla;Suðurland og Reykjanes;Suðurgötu 2 - 4
250;Garði;Afgreiðsla;Suðurland og Reykjanes;Garðbraut 69
260;Reykjanesbæ;Póstnúmer;Suðurland og Reykjanes;Hafnargötu 89 (Keflavík)
270;Mosfellsbæ;Afgreiðsla;Höfuðborgarsvæðið;Háholt 14 (Mosfellsbæ)
